"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
210,1,1,1,1,1,0,0,20240415,20241207
211,1,1,1,1,1,0,0,20240415,20241207
212,0,0,0,0,0,0,0,20240415,20241207
213,0,0,0,0,0,0,0,20240415,20241207
214,0,0,0,0,0,0,0,20240415,20241207
215,1,1,1,1,1,0,0,20240415,20241207
216,0,0,0,0,0,0,0,20240415,20241207
217,1,1,1,1,1,0,0,20240415,20241207
218,1,1,1,1,0,0,0,20240415,20241207
219,0,0,0,0,0,0,0,20240415,20241207
220,1,1,1,1,1,0,0,20240415,20241207
221,1,1,1,1,0,0,0,20240415,20241207
222,0,0,0,0,0,0,0,20240415,20241207
223,0,0,0,0,0,0,0,20240415,20241207
224,1,1,1,1,1,0,0,20240415,20241207
225,1,1,1,1,1,0,0,20240415,20241207
226,1,1,1,1,0,0,0,20240415,20241207
227,0,0,0,0,0,0,1,20240415,20241207
228,0,0,0,0,0,0,0,20240415,20241207
229,0,0,0,0,0,0,0,20240415,20241207
230,1,1,1,1,1,0,0,20240415,20241207
231,0,0,0,0,1,0,0,20240415,20241207
232,0,0,0,0,0,0,0,20240415,20241207
233,0,0,0,0,0,0,0,20240415,20241207
234,1,1,1,1,1,0,0,20240415,20241207
235,1,1,1,1,1,0,0,20240415,20241207
236,1,1,1,1,0,0,0,20240415,20241207
237,0,0,0,0,1,0,0,20240415,20241207
238,0,0,0,0,0,0,0,20240415,20241207
239,0,0,0,0,1,1,0,20240415,20241207
240,1,1,1,1,1,0,0,20240415,20241207
241,0,0,0,0,0,0,0,20240415,20241207
242,1,1,1,1,1,0,0,20240415,20241207
243,0,0,0,0,0,0,0,20240415,20241207
244,0,0,0,0,0,0,0,20240415,20241207
245,1,1,1,1,1,0,0,20240415,20241207
246,0,0,0,0,0,1,0,20240415,20241207
247,0,0,0,0,1,0,0,20240415,20241207
248,0,0,0,0,0,0,1,20240415,20241207
249,0,0,0,0,0,1,0,20240415,20241207
250,0,0,0,0,1,0,0,20240415,20241207
251,0,0,0,0,0,0,0,20240415,20241207
252,0,0,0,0,0,0,0,20240415,20241207
253,0,0,0,0,0,0,0,20240415,20241207
254,0,0,0,0,0,0,0,20240415,20241207
255,0,0,0,0,1,1,0,20240415,20241207
256,0,0,0,0,1,1,0,20240415,20241207
257,0,0,0,0,1,0,0,20240415,20241207
258,1,1,1,1,1,0,0,20240415,20241207
259,0,1,0,1,1,0,0,20240415,20241207
260,1,1,0,0,0,0,0,20240415,20241207
261,0,0,1,1,1,0,0,20240415,20241207
262,0,0,0,0,1,0,0,20240415,20241207
263,0,0,0,0,1,0,0,20240415,20241207
264,0,0,0,0,0,1,0,20240415,20241207
265,1,1,1,1,1,0,0,20240415,20241207
266,0,0,0,0,0,0,1,20240415,20241207
267,1,1,1,1,1,0,0,20240415,20241207
268,1,1,1,1,1,0,0,20240415,20241207
269,1,0,0,0,0,0,0,20240415,20241207
270,0,1,1,1,1,1,0,20240415,20241207
271,1,1,1,1,1,0,0,20240415,20241207
272,0,0,0,0,0,0,1,20240415,20241207
273,0,0,0,0,0,1,1,20240415,20241207
274,1,1,1,1,1,0,0,20240415,20241207
275,1,1,1,1,1,1,1,20240415,20241207
276,0,0,0,0,0,0,0,20240415,20241207
277,0,0,0,0,0,0,0,20240415,20241207
278,1,1,1,1,1,1,1,20240415,20241207
279,0,0,0,0,0,1,1,20240415,20241207
280,1,1,1,1,1,0,0,20240415,20241207
